qid,P527
Q120913144,Q135509591
Q120913144,Q135509592
Q120913144,Q135509593
Q120913144,Q135509594
Q120913144,Q135509595
Q120913144,Q135509596
Q120913144,Q135509597
Q120913144,Q135509598
Q120913144,Q135509599
Q120913144,Q135509600
Q120913144,Q135509601
Q120913144,Q135509602
Q120913144,Q135509603
Q120913144,Q135509605
Q120913144,Q135509606
Q120913144,Q135509607
Q120913144,Q135509608
Q120913144,Q135509609
Q120913144,Q135509610
Q120913144,Q135509611
Q120913144,Q135509612
Q120913144,Q135509613
Q120913144,Q135509614
Q120913144,Q135509615
Q120913144,Q135509616
Q120913144,Q135509617
Q120913144,Q135509618
Q120913144,Q135509619
Q120913144,Q135509620
Q120913144,Q135509621
Q120913144,Q135509622
Q120913144,Q135509623
Q120913144,Q135509624
Q120913144,Q135509625
Q120913144,Q135509626
Q120913144,Q135509627
Q120913144,Q135509628
Q120913144,Q135509629
Q120913144,Q135509630
Q120913144,Q135509631
Q120913144,Q135509632
Q120913144,Q135509633
Q120913144,Q135509634
Q120913144,Q135509635
Q120913144,Q135509636
Q120913144,Q135509637
Q120913144,Q135509638
Q120913144,Q135509639
Q120913144,Q135509640
Q120913144,Q135509641
Q120913144,Q135509642
Q120913144,Q135509643
Q120913144,Q135509644
Q120913144,Q135509645
Q120913144,Q135509646
Q120913144,Q135509647
Q120913144,Q135509648
Q120913144,Q135509649
Q120913144,Q135509650
Q120913144,Q135509651
Q120913144,Q135509652
Q120913144,Q135509653
Q120913144,Q135509654
Q120913144,Q135509655
Q120913144,Q135509656
Q120913144,Q135509657
Q120913144,Q135509658
Q120913144,Q135509659
Q120913144,Q135509660
Q120913144,Q135509661
Q120913144,Q135509662
Q120913144,Q135509663
Q120913144,Q135509664
Q120913144,Q135509665
Q120913144,Q135509666
Q120913144,Q135509667
Q120913144,Q135509668
Q120913144,Q135509669
Q120913144,Q135509671
Q120913144,Q135509672
Q120913144,Q135509673
Q120913144,Q135509674
Q120913144,Q135509675
Q120913144,Q135509676
Q120913144,Q135509677
Q120913144,Q135509678
Q120913144,Q135509679
Q120913144,Q135509680
Q120913144,Q135509681
Q120913144,Q135509682
Q120913144,Q135509683
Q120913144,Q135509684
Q120913144,Q135509685
Q120913144,Q135509686
Q120913144,Q135509687
Q120913144,Q135509688
Q120913144,Q135509689
Q120913144,Q135509690
Q120913144,Q135509691
Q120913144,Q135509692
Q120913144,Q135509693
Q120913144,Q135509694
Q120913144,Q135509695
Q120913144,Q135509696
Q120913144,Q135509697
Q120913144,Q135509698
Q120913144,Q135509699
Q120913144,Q135509700
Q120913144,Q135509701
Q120913144,Q135509702
Q120913144,Q135509703
Q120913144,Q135509704
Q120913144,Q135509705
Q120913144,Q135509707
Q120913144,Q135509708
Q120913144,Q135509709
Q120913144,Q135509710
Q120913144,Q135509711
Q120913144,Q135509712
Q120913144,Q135509713
Q120913144,Q135509715
Q120913144,Q135509716
Q120913144,Q135509717
Q120913144,Q135509718
Q120913144,Q135509719
Q120913144,Q135509721
Q120913144,Q135509722
Q120913144,Q135509723
Q120913144,Q135509724
Q120913144,Q135509725
Q120913144,Q135509726
Q120913144,Q135509727
Q120913144,Q135509728
Q120913144,Q135509729
Q120913144,Q135509730
Q120913144,Q135509731
Q120913144,Q135509732
Q120913144,Q135509733
Q120913144,Q135509734
Q120913144,Q135509735
Q120913144,Q135509736
Q120913144,Q135509737
Q120913144,Q135509738
Q120913144,Q135509739
Q120913144,Q135509740
Q120913144,Q135509741
Q120913144,Q135509742
Q120913144,Q135509743
Q120913144,Q135509744
Q120913144,Q135509745
Q120913144,Q135509746
Q120913144,Q135509747
Q120913144,Q135509748
Q120913144,Q135509749
Q120913144,Q135509750
Q120913144,Q135509751
Q120913144,Q135509752
Q120913144,Q135509753
Q120913144,Q135509754
