qid,Len,P31,P361,P17
,2025 Boticas local elections,Q10271409,Q120913144,Q45
,2025 Vila do Conde local elections,Q10271409,Q120913144,Q45
,2025 Moita local elections,Q10271409,Q120913144,Q45
,2025 Coruche local elections,Q10271409,Q120913144,Q45
,2025 Lousada local elections,Q10271409,Q120913144,Q45
,2025 Oliveira do Hospital local elections,Q10271409,Q120913144,Q45
,2025 Penamacor local elections,Q10271409,Q120913144,Q45
,2025 Campo Maior local elections,Q10271409,Q120913144,Q45
,2025 Idanha-a-Nova local elections,Q10271409,Q120913144,Q45
,2025 Gavião local elections,Q10271409,Q120913144,Q45
,2025 Lousã local elections,Q10271409,Q120913144,Q45
,2025 Vila do Corvo local elections,Q10271409,Q120913144,Q45
,2025 São João da Pesqueira local elections,Q10271409,Q120913144,Q45
,2025 Velas local elections,Q10271409,Q120913144,Q45
,2025 Tabuaço local elections,Q10271409,Q120913144,Q45
,2025 Castanheira de Pera local elections,Q10271409,Q120913144,Q45
,2025 São Pedro do Sul local elections,Q10271409,Q120913144,Q45
,2025 Porto Santo local elections,Q10271409,Q120913144,Q45
,2025 Vila Nova de Cerveira local elections,Q10271409,Q120913144,Q45
,2025 Setúbal local elections,Q10271409,Q120913144,Q45
,2025 Póvoa de Varzim local elections,Q10271409,Q120913144,Q45
,2025 São Vicente local elections,Q10271409,Q120913144,Q45
,2025 Castelo Branco local elections,Q10271409,Q120913144,Q45
,2025 Valença local elections,Q10271409,Q120913144,Q45
,2025 Póvoa de Lanhoso local elections,Q10271409,Q120913144,Q45
,2025 Arouca local elections,Q10271409,Q120913144,Q45
,2025 Povoação local elections,Q10271409,Q120913144,Q45
,2025 Valongo local elections,Q10271409,Q120913144,Q45
,2025 Azambuja local elections,Q10271409,Q120913144,Q45
,2025 Batalha local elections,Q10271409,Q120913144,Q45
,2025 Alcácer do Sal local elections,Q10271409,Q120913144,Q45
,2025 Palmela local elections,Q10271409,Q120913144,Q45
,2025 Mortágua local elections,Q10271409,Q120913144,Q45
,2025 Resende local elections,Q10271409,Q120913144,Q45
,2025 Mondim de Basto local elections,Q10271409,Q120913144,Q45
,2025 Peniche local elections,Q10271409,Q120913144,Q45
,2025 Ponta do Sol local elections,Q10271409,Q120913144,Q45
,2025 Alcoutim local elections,Q10271409,Q120913144,Q45
,2025 Constância local elections,Q10271409,Q120913144,Q45
,2025 Horta local elections,Q10271409,Q120913144,Q45
,2025 Salvaterra de Magos local elections,Q10271409,Q120913144,Q45
,2025 Caminha local elections,Q10271409,Q120913144,Q45
,2025 Guimarães local elections,Q10271409,Q120913144,Q45
,2025 Leiria local elections,Q10271409,Q120913144,Q45
,2025 Marinha Grande local elections,Q10271409,Q120913144,Q45
,2025 Miranda do Corvo local elections,Q10271409,Q120913144,Q45
,2025 Vagos local elections,Q10271409,Q120913144,Q45
,2025 Arganil local elections,Q10271409,Q120913144,Q45
,2025 Alter do Chão local elections,Q10271409,Q120913144,Q45
,2025 Alvito local elections,Q10271409,Q120913144,Q45
,2025 Montemor-o-Novo local elections,Q10271409,Q120913144,Q45
,2025 Vieira do Minho local elections,Q10271409,Q120913144,Q45
,2025 Vidigueira local elections,Q10271409,Q120913144,Q45
,2025 Vila Verde local elections,Q10271409,Q120913144,Q45
,2025 Nordeste local elections,Q10271409,Q120913144,Q45
,2025 Portel local elections,Q10271409,Q120913144,Q45
,2025 Alcobaça local elections,Q10271409,Q120913144,Q45
,2025 Nelas local elections,Q10271409,Q120913144,Q45
,2025 Alijó local elections,Q10271409,Q120913144,Q45
,2025 Vila Real de Santo António local elections,Q10271409,Q120913144,Q45
,2025 Montalegre local elections,Q10271409,Q120913144,Q45
,2025 Santa Comba Dão local elections,Q10271409,Q120913144,Q45
,2025 Borba local elections,Q10271409,Q120913144,Q45
,2025 Torres Vedras local elections,Q10271409,Q120913144,Q45
,2025 Paços de Ferreira local elections,Q10271409,Q120913144,Q45
,2025 Madalena local elections,Q10271409,Q120913144,Q45
,2025 Vila de Rei local elections,Q10271409,Q120913144,Q45
,2025 Santa Cruz das Flores local elections,Q10271409,Q120913144,Q45
,2025 Vila do Porto local elections,Q10271409,Q120913144,Q45
,2025 Sesimbra local elections,Q10271409,Q120913144,Q45
,2025 Lajes do Pico local elections,Q10271409,Q120913144,Q45
,2025 Manteigas local elections,Q10271409,Q120913144,Q45
,2025 Aljezur local elections,Q10271409,Q120913144,Q45
,2025 Alcanena local elections,Q10271409,Q120913144,Q45
,2025 Trofa local elections,Q10271409,Q120913144,Q45
,2025 Alenquer local elections,Q10271409,Q120913144,Q45
,2025 Seixal local elections,Q10271409,Q120913144,Q45
,2025 Murtosa local elections,Q10271409,Q120913144,Q45
,2025 Cadaval local elections,Q10271409,Q120913144,Q45
,2025 Torres Novas local elections,Q10271409,Q120913144,Q45
,2025 Condeixa-a-Nova local elections,Q10271409,Q120913144,Q45
,2025 Barcelos local elections,Q10271409,Q120913144,Q45
,2025 Beja local elections,Q10271409,Q120913144,Q45
,2025 Elvas local elections,Q10271409,Q120913144,Q45
,2025 Vale de Cambra local elections,Q10271409,Q120913144,Q45
,2025 Cantanhede local elections,Q10271409,Q120913144,Q45
,2025 Ourique local elections,Q10271409,Q120913144,Q45
,2025 Celorico da Beira local elections,Q10271409,Q120913144,Q45
,2025 Soure local elections,Q10271409,Q120913144,Q45
,2025 Vila Nova de Famalicão local elections,Q10271409,Q120913144,Q45
,2025 Mogadouro local elections,Q10271409,Q120913144,Q45
,2025 Esposende local elections,Q10271409,Q120913144,Q45
,2025 Ferreira do Alentejo local elections,Q10271409,Q120913144,Q45
,2025 Loulé local elections,Q10271409,Q120913144,Q45
,2025 Gouveia local elections,Q10271409,Q120913144,Q45
,2025 Valpaços local elections,Q10271409,Q120913144,Q45
,2025 Peso da Régua local elections,Q10271409,Q120913144,Q45
,2025 Monforte local elections,Q10271409,Q120913144,Q45
,2025 Almeirim local elections,Q10271409,Q120913144,Q45
,2025 Covilhã local elections,Q10271409,Q120913144,Q45
,2025 Oliveira de Frades local elections,Q10271409,Q120913144,Q45
,2025 Bombarral local elections,Q10271409,Q120913144,Q45
,2025 Loures local elections,Q10271409,Q120913144,Q45
,2025 Oeiras local elections,Q10271409,Q120913144,Q45
,2025 Monchique local elections,Q10271409,Q120913144,Q45
,2025 Vila Nova de Paiva local elections,Q10271409,Q120913144,Q45
,2025 Proença-a-Nova local elections,Q10271409,Q120913144,Q45
,2025 Ribeira de Pena local elections,Q10271409,Q120913144,Q45
,2025 Golegã local elections,Q10271409,Q120913144,Q45
,2025 Vouzela local elections,Q10271409,Q120913144,Q45
,2025 Nisa local elections,Q10271409,Q120913144,Q45
,2025 Mafra local elections,Q10271409,Q120913144,Q45
,2025 São Brás de Alportel local elections,Q10271409,Q120913144,Q45
,2025 Mêda local elections,Q10271409,Q120913144,Q45
,2025 Sabugal local elections,Q10271409,Q120913144,Q45
,2025 Fundão local elections,Q10271409,Q120913144,Q45
,2025 Sobral de Monte Agraço local elections,Q10271409,Q120913144,Q45
,2025 São Roque do Pico local elections,Q10271409,Q120913144,Q45
,2025 Lajes das Flores local elections,Q10271409,Q120913144,Q45
,2025 Entroncamento local elections,Q10271409,Q120913144,Q45
,2025 Reguengos de Monsaraz local elections,Q10271409,Q120913144,Q45
,2025 Vila Nova da Barquinha local elections,Q10271409,Q120913144,Q45
,2025 Vila Velha de Ródão local elections,Q10271409,Q120913144,Q45
,2025 Ferreira do Zêzere local elections,Q10271409,Q120913144,Q45
,2025 Funchal local elections,Q10271409,Q120913144,Q45
,2025 Montemor-o-Velho local elections,Q10271409,Q120913144,Q45
,2025 Aguiar da Beira local elections,Q10271409,Q120913144,Q45
